chain,pdb_id,rnagym_id,experiment
DP,9f9s,4b4562c8db47,2A3_MaP
DP,9f9s,81f59966f860,2A3_MaP
DP,9f9s,806adc4ab4cf,2A3_MaP
DP,9f9s,a4d65fc1e5a8,2A3_MaP
DP,9f9s,3905b0287827,2A3_MaP
DP,9f9s,9213d6fbfcbd,2A3_MaP
DP,9f9s,067b56aef70b,2A3_MaP
DP,9f9s,900d89a0239d,2A3_MaP
DP,9f9s,6ab478a27359,2A3_MaP
DP,9f9s,5382254f4ef9,2A3_MaP
DP,9f9s,8503132df317,2A3_MaP
DP,9f9s,ee5fa8120ed1,2A3_MaP
DP,9f9s,79e316b734b3,2A3_MaP
DP,9f9s,62d6187494db,2A3_MaP
DP,9f9s,67a532e3fd4d,2A3_MaP
DP,9f9s,ccb6540651e5,2A3_MaP
DP,9f9s,1af6c0587a95,2A3_MaP
DP,9f9s,2e213487ee1c,2A3_MaP
DP,9f9s,ac6a9faea505,2A3_MaP
DP,9f9s,8b5602574246,2A3_MaP
DP,9f9s,36f6efa650a6,2A3_MaP
DP,9f9s,527b2d5a2808,2A3_MaP
DP,9f9s,99822f5ea212,2A3_MaP
DP,9f9s,1d09242a2dd4,2A3_MaP
DP,9f9s,98704621eaa9,2A3_MaP
DP,9f9s,734df0d5a3ff,2A3_MaP
DP,9f9s,69a3190e9850,2A3_MaP
DP,9f9s,30ad692c5a3a,2A3_MaP
DP,9f9s,3544c0a2c219,2A3_MaP
DP,9f9s,fdaa23754320,2A3_MaP
DP,9f9s,e5cce2b0d421,2A3_MaP
DP,9f9s,00f934633f23,2A3_MaP
DP,9f9s,03d2ab5d3d0a,2A3_MaP
DP,9f9s,53816fe10e87,2A3_MaP
DP,9f9s,dac7334be8b3,2A3_MaP
DP,9f9s,b150aa93b360,2A3_MaP
DP,9f9s,85eb2e0b987f,2A3_MaP
DP,9f9s,fb3bd558918b,2A3_MaP
DP,9f9s,0879b5543204,2A3_MaP
DP,9f9s,7de894e90f1c,2A3_MaP
DP,9f9s,b776517628ac,2A3_MaP
DP,9f9s,e2e8753615ca,2A3_MaP
DP,9f9s,4058a780185d,2A3_MaP
DP,9f9s,480c73a04db1,2A3_MaP
DP,9f9s,8351865b7216,2A3_MaP
DP,9f9s,76c50b4e5c38,2A3_MaP
DP,9f9s,e588ed45f05c,2A3_MaP
DP,9f9s,7ea9fb61744e,2A3_MaP
DP,9f9s,078edd222b1c,2A3_MaP
DP,9f9s,c22c2cbd46a7,2A3_MaP
DP,9f9s,51e8d7f87572,2A3_MaP
DP,9f9s,8d98fa320123,2A3_MaP
DP,9f9s,c35118b45b09,2A3_MaP
DP,9f9s,686b48fccb9d,2A3_MaP
DP,9f9s,098efe9cf61b,2A3_MaP
DP,9f9s,5180c7e8b3c8,2A3_MaP
DP,9f9s,c44f1262de27,2A3_MaP
